system:index,classification,fireBinary,.geo
00000000000000000000_0,0.6463441,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.39889892642542,18.439074894123536]}"
00000000000000000001_0,0.32057112,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.05394585732353,18.775943125668356]}"
00000000000000000002_0,0.5752518,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.47974730199617,17.223654314709822]}"
00000000000000000003_0,0.6234384,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.62257943217118,15.927385359725353]}"
00000000000000000004_0,0.6709322,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.61718954046646,17.406910632670204]}"
00000000000000000005_0,0.13597012,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.75428160138681,18.16688536303532]}"
00000000000000000006_0,0.78414166,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.43627799080849,19.918600167068387]}"
00000000000000000007_0,0.04407596,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.79236102086976,19.16132038255563]}"
00000000000000000008_0,0.26943913,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.67343322581604,19.487408830691017]}"
00000000000000000009_0,0.10245221,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.90285380081647,16.584952147700843]}"
0000000000000000000a_0,0.19253665,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.08611011877686,19.76498825348395]}"
0000000000000000000b_0,0.46785635,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.89494405203436,17.635981030120682]}"
0000000000000000000c_0,0.21879563,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.56833033757407,18.28276803468674]}"
0000000000000000000d_0,0.190399,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.56598556927165,17.92703518217541]}"
0000000000000000000e_0,0.41398257,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.90302888959144,17.90547561535654]}"
0000000000000000000f_0,0.4472732,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.0187364724679,19.751513524222155]}"
00000000000000000010_0,0.30758688,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.10766968559572,19.247558649831106]}"
00000000000000000011_0,0.117972456,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.04568593099147,19.694919661322626]}"
00000000000000000012_0,0.12778682,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.17234838605232,17.684490055463137]}"
00000000000000000013_0,0.3994552,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.95423286078625,17.544352871140493]}"
00000000000000000014_0,0.10162692,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.50130686881505,18.41482038145231]}"
00000000000000000015_0,0.5256392,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.7249873745608,15.816892579778653]}"
00000000000000000016_0,0.69493055,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.7194223940811,20.29319764054623]}"
00000000000000000017_0,0.10516418,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.80853069598392,16.593036985257918]}"
00000000000000000018_0,0.12438585,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.88668412570232,15.4234304853343]}"
00000000000000000019_0,0.41054967,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[97.9380631856721,17.600946734040022]}"
0000000000000000001a_0,0.18731537,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.83512997695756,18.891825797319775]}"
0000000000000000001b_0,0.7239669,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.56581048049668,19.323017133697142]}"
0000000000000000001c_0,0.82936865,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[100.28266607722405,18.819062259306094]}"
0000000000000000001d_0,0.33288246,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.65222383654712,18.395955760485798]}"
0000000000000000001e_0,0.70054877,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.27493141721692,19.638325798423097]}"
0000000000000000001f_0,0.24946634,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.49574188833536,18.684314966688163]}"
00000000000000000020_0,0.56250715,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.10245488266598,19.091251790394306]}"
00000000000000000021_0,0.28221172,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.24241697821365,19.821582116383478]}"
00000000000000000022_0,0.4165273,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.80044585842684,18.236953955196643]}"
00000000000000000023_0,0.64725256,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.36368954156978,19.643715690127813]}"
00000000000000000024_0,0.4801347,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.46088268102966,19.021183198232986]}"
00000000000000000025_0,0.85384804,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.48783213955325,19.2933727293212]}"
00000000000000000026_0,0.23812419,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.93232311641744,19.57364709796649]}"
00000000000000000027_0,0.17888147,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.63605416143297,15.873486442678182]}"
00000000000000000028_0,0.49492446,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[98.26145668795513,19.597901610637717]}"
00000000000000000029_0,0.4404233,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.05916066025327,19.864701250021216]}"
0000000000000000002a_0,0.5885947,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[99.63857401851035,19.678749986208473]}"
